Container_Number,Orders,Weight_Used,Volume_Used,Pallets_Used,Weight_Utilization_%,Volume_Utilization_%,Pallet_Utilization_%,Remaining_Weight,Remaining_Volume,Remaining_Pallets
211,"[39317113, 59856278]",44173.0,3555.0,35.0,98.1622222222222,98.75,58.333333333333336,827.0,45.0,25.0
212,"[83007689, 69570061, 91336127]",44697.0,3292.0,50.0,99.32666666666668,91.44444444444444,83.33333333333334,303.0,308.0,10.0
213,"[96290440, 84230923, 88275886]",44314.0,2938.0,48.0,98.47555555555556,81.61111111111111,80.0,686.0,662.0,12.0
214,"[65674858, 57304062, 89897615]",44622.0,3113.0,59.0,99.16,86.47222222222221,98.33333333333331,378.0,487.0,1.0
215,"[73533710, 89010704]",43394.0,2913.0,60.0,96.43111111111112,80.91666666666667,100.0,1606.0,687.0,0.0
216,"[73960768, 74479790, 90460062]",44687.0,2925.0,45.0,99.30444444444444,81.25,75.0,313.0,675.0,15.0
217,"[11097901, 76636214]",44369.0,3224.0,47.0,98.59777777777778,89.55555555555556,78.33333333333333,631.0,376.0,13.0
218,"[56669300, 94457179, 83303578]",43803.0,3544.0,50.0,97.34,98.44444444444444,83.33333333333334,1197.0,56.0,10.0
219,"[43203808, 74431224, 83423741]",44786.0,2922.0,55.0,99.52444444444446,81.16666666666667,91.66666666666666,214.0,678.0,5.0
220,"[85118671, 86464691]",44991.0,3506.0,34.0,99.98,97.38888888888889,56.66666666666666,9.0,94.0,26.0
221,"[64340223, 88301013]",43267.0,3467.0,38.0,96.14888888888888,96.30555555555556,63.33333333333333,1733.0,133.0,22.0
222,"[92355704, 89252984]",44963.0,2850.0,52.0,99.9177777777778,79.16666666666666,86.66666666666667,37.0,750.0,8.0
223,"[71192542, 89450551]",42478.0,3504.0,55.0,94.39555555555556,97.33333333333334,91.66666666666666,2522.0,96.0,5.0
224,"[27350399, 92202565]",44927.0,3549.0,53.0,99.83777777777776,98.58333333333331,88.33333333333333,73.0,51.0,7.0
225,"[84964768, 93754802]",44468.0,3476.0,59.0,98.81777777777778,96.55555555555554,98.33333333333331,532.0,124.0,1.0
226,"[97817472, 94342581]",43618.0,3538.0,54.0,96.92888888888888,98.27777777777776,90.0,1382.0,62.0,6.0
227,"[77262317, 70684574, 94823021]",44973.0,3573.0,49.0,99.94,99.25,81.66666666666667,27.0,27.0,11.0
228,"[58044569, 94835482]",41531.0,3491.0,57.0,92.2911111111111,96.97222222222224,95.0,3469.0,109.0,3.0
229,"[70590586, 18312530, 95345587]",44500.0,3524.0,56.0,98.88888888888889,97.88888888888889,93.33333333333331,500.0,76.0,4.0
230,"[75553143, 85585971, 95924279]",44001.0,3577.0,46.0,97.78,99.36111111111111,76.66666666666667,999.0,23.0,14.0
231,"[26492002, 96536743]",42301.0,3409.0,49.0,94.00222222222222,94.69444444444444,81.66666666666667,2699.0,191.0,11.0
232,"[45958723, 83860574, 86385504]",44092.0,3145.0,32.0,97.98222222222222,87.36111111111111,53.333333333333336,908.0,455.0,28.0
233,"[26695468, 55340500]",44832.0,3355.0,51.0,99.62666666666668,93.19444444444444,85.0,168.0,245.0,9.0
234,"[49021766, 89833928]",39816.0,3444.0,60.0,88.48,95.66666666666669,100.0,5184.0,156.0,0.0
235,"[43752435, 73921012]",43449.0,3247.0,52.0,96.55333333333334,90.19444444444444,86.66666666666667,1551.0,353.0,8.0
236,"[73341105, 95984497]",43824.0,3259.0,28.0,97.38666666666668,90.52777777777776,46.66666666666666,1176.0,341.0,32.0
237,"[73499381, 88842130]",44732.0,3595.0,49.0,99.40444444444444,99.86111111111111,81.66666666666667,268.0,5.0,11.0
238,"[72869889, 63414978]",40461.0,3440.0,57.0,89.91333333333333,95.55555555555556,95.0,4539.0,160.0,3.0
239,"[56159148, 28204730, 26271229]",44964.0,3358.0,47.0,99.92,93.2777777777778,78.33333333333333,36.0,242.0,13.0
240,"[67326549, 85236250]",43408.0,3465.0,39.0,96.46222222222222,96.25,65.0,1592.0,135.0,21.0
241,"[35749913, 87654946, 93251494]",44559.0,3267.0,31.0,99.02,90.75,51.66666666666667,441.0,333.0,29.0
242,"[82249015, 33326815]",44276.0,3169.0,39.0,98.3911111111111,88.02777777777779,65.0,724.0,431.0,21.0
243,"[77417648, 19702106]",43226.0,3382.0,60.0,96.05777777777776,93.94444444444444,100.0,1774.0,218.0,0.0
244,"[51226204, 49674740]",44327.0,3430.0,43.0,98.50444444444445,95.27777777777776,71.66666666666667,673.0,170.0,17.0
245,"[55049695, 40604676, 76273037]",44958.0,3355.0,48.0,99.90666666666668,93.19444444444444,80.0,42.0,245.0,12.0
246,"[80598556, 87714364]",41542.0,3557.0,55.0,92.31555555555556,98.80555555555556,91.66666666666666,3458.0,43.0,5.0
247,"[58106041, 96542602]",44951.0,3574.0,45.0,99.89111111111112,99.27777777777776,75.0,49.0,26.0,15.0
248,"[86619419, 75301268, 90748645]",44837.0,2983.0,43.0,99.6377777777778,82.86111111111111,71.66666666666667,163.0,617.0,17.0
249,"[66527676, 88009879, 75469684]",44995.0,3540.0,53.0,99.9888888888889,98.33333333333331,88.33333333333333,5.0,60.0,7.0
250,"[54907431, 13730217]",43981.0,3492.0,42.0,97.73555555555556,97.0,70.0,1019.0,108.0,18.0
251,"[40652083, 83001249]",40287.0,3453.0,60.0,89.52666666666667,95.91666666666666,100.0,4713.0,147.0,0.0
252,"[32588901, 90313921]",44708.0,3577.0,42.0,99.35111111111112,99.36111111111111,70.0,292.0,23.0,18.0
253,"[44893550, 93913528, 90287868]",43801.0,3382.0,48.0,97.33555555555556,93.94444444444444,80.0,1199.0,218.0,12.0
254,"[57224041, 40188339]",44880.0,3327.0,34.0,99.73333333333332,92.41666666666669,56.66666666666666,120.0,273.0,26.0
255,"[56476013, 27568525, 87846175, 87941529]",44081.0,3328.0,52.0,97.95777777777778,92.44444444444444,86.66666666666667,919.0,272.0,8.0
256,"[81572573, 89551389, 76188602, 80458451]",44416.0,3593.0,59.0,98.70222222222222,99.80555555555556,98.33333333333331,584.0,7.0,1.0
257,"[13671643, 80055594, 83731454]",44199.0,2840.0,57.0,98.22,78.88888888888889,95.0,801.0,760.0,3.0
258,"[75571926, 89972223]",43636.0,3306.0,60.0,96.9688888888889,91.83333333333331,100.0,1364.0,294.0,0.0
259,"[21535141, 86700066, 99930842, 73956919]",43337.0,3105.0,59.0,96.30444444444444,86.25,98.33333333333331,1663.0,495.0,1.0
260,"[71406992, 95388961, 54378683]",44754.0,3297.0,53.0,99.45333333333332,91.58333333333334,88.33333333333333,246.0,303.0,7.0
261,"[13423472, 92474608]",41857.0,3573.0,42.0,93.01555555555557,99.25,70.0,3143.0,27.0,18.0
262,"[77547998, 77040825, 89357542]",44641.0,3219.0,57.0,99.20222222222222,89.41666666666667,95.0,359.0,381.0,3.0
263,"[30886297, 92961659]",44637.0,3415.0,48.0,99.19333333333331,94.86111111111111,80.0,363.0,185.0,12.0
264,"[59427579, 76435473]",41565.0,3431.0,45.0,92.36666666666666,95.30555555555556,75.0,3435.0,169.0,15.0
265,"[97808076, 71578749]",44532.0,3444.0,55.0,98.96,95.66666666666669,91.66666666666666,468.0,156.0,5.0
266,"[17708789, 37355174, 62123461]",43992.0,3502.0,48.0,97.76,97.27777777777776,80.0,1008.0,98.0,12.0
267,"[36340624, 17511338, 53138022, 89698602]",44992.0,3448.0,58.0,99.98222222222222,95.77777777777776,96.66666666666669,8.0,152.0,2.0
