Container,Orders,Weight_Used,Volume_Used,Pallets_Used,Weight_Utilization_%,Volume_Utilization_%,Pallet_Utilization_%,Remaining_Weight,Remaining_Volume,Remaining_Pallets
55,"[68895699, 85118671]",44211,3501,29,98.24666666666668,97.25,48.333333333333336,789,99,31
56,"[16722794, 69071649]",44786,3593,35,99.52444444444446,99.80555555555556,58.333333333333336,214,7,25
57,"[45285827, 70719331, 76899081]",43407,3588,46,96.46,99.66666666666669,76.66666666666667,1593,12,14
58,"[70923221, 80049001]",44652,3010,26,99.22666666666666,83.61111111111111,43.333333333333336,348,590,34
59,"[71562938, 88301013]",43175,3417,50,95.94444444444444,94.91666666666669,83.33333333333334,1825,183,10
60,"[72173616, 95984497]",41199,3390,42,91.55333333333331,94.16666666666669,70,3801,210,18
61,"[61726712, 72323382]",42917,2809,52,95.37111111,78.02777777777777,86.66666666666667,2083,791,8
62,"[60076044, 73085672]",44730,2621,53,99.4,72.80555555555556,88.33333333333333,270,979,7
63,"[36430693, 73831628]",42595,3563,38,94.65555555555557,98.97222222,63.33333333333333,2405,37,22
64,"[76273037, 84964768]",42343,3444,47,94.09555555555556,95.66666666666669,78.33333333333333,2657,156,13
65,"[40608333, 68588693, 76400344]",44785,2709,50,99.52222222222224,75.25,83.33333333333334,215,891,10
66,"[33279803, 76636214]",43182,3577,38,95.96,99.36111111111111,63.33333333333333,1818,23,22
67,"[69276729, 76839857]",44403,3399,14,98.67333333333332,94.41666666666669,23.33333333333333,597,201,46
68,"[78176677, 79333425]",44660,2885,59,99.24444444444444,80.13888888888889,98.33333333333331,340,715,1
69,"[40155118, 78334793, 91438554]",44766,3394,13,99.48,94.27777778,21.666666666666668,234,206,47
70,"[17786650, 79988590]",44469,3539,39,98.82,98.30555555555556,65,531,61,21
71,"[55524023, 81236707, 93816485]",44982,3476,60,99.96,96.55555555555554,100,18,124,0
72,"[76435473, 81289459, 83389159]",44749,3221,35,99.44222222222224,89.47222222222221,58.333333333333336,251,379,25
73,"[44409957, 82854414]",42458,3520,37,94.35111111111112,97.77777777777776,61.66666666666667,2542,80,23
74,"[83154690, 99380211]",43809,3132,29,97.35333333333334,87,48.333333333333336,1191,468,31
75,"[26162431, 83423741]",44533,3411,53,98.96222222222222,94.75,88.33333333333333,467,189,7
76,"[49770628, 83958965]",42446,3469,57,94.32444444444444,96.36111111111111,95,2554,131,3
77,"[78035773, 85296118]",44190,3160,53,98.2,87.77777777777777,88.33333333333333,810,440,7
78,"[22624161, 87981724]",44801,3577,54,99.55777777777776,99.36111111111111,90,199,23,6
79,"[42927021, 88195561]",44386,2977,40,98.63555555555556,82.69444444444444,66.66666666666666,614,623,20
80,"[88708842, 90427660]",44770,3346,25,99.48888889,92.94444444444444,41.66666666666667,230,254,35
81,"[79680751, 88821066]",43143,3516,46,95.87333333333332,97.66666666666669,76.66666666666667,1857,84,14
82,"[88960928, 89664243]",44322,2972,19,98.49333333333334,82.55555555555556,31.666666666666664,678,628,41
83,"[76429146, 90139478]",43551,3275,48,96.78,90.97222222,80,1449,325,12
84,"[43393299, 90629724]",44595,3411,29,99.1,94.75,48.333333333333336,405,189,31
85,"[88018618, 90748645]",42874,2953,33,95.27555555555556,82.02777777777777,55.00000000000001,2126,647,27
86,"[48140467, 49840994, 91690275]",44322,3535,60,98.49333333333334,98.19444444444444,100,678,65,0
87,"[20373439, 86187991, 91708989]",44729,3334,50,99.39777777777778,92.61111111111111,83.33333333333334,271,266,10
88,"[89309989, 92202565]",41741,3215,51,92.75777777777778,89.30555555555556,85,3259,385,9
89,"[86882948, 94342581]",43087,3396,58,95.74888888888889,94.33333333333334,96.66666666666669,1913,204,2
90,"[51413272, 95345587]",44162,3283,47,98.13777778,91.19444444444444,78.33333333333333,838,317,13
91,"[68109878, 85588445, 95634329]",43615,3506,59,96.92222222222222,97.38888888888889,98.33333333333331,1385,94,1
92,"[96536743, 97542908, 98786299]",44770,3596,58,99.48888889,99.88888889,96.66666666666669,230,4,2
93,"[30130235, 47977695, 96542602]",44349,3378,60,98.55333333333334,93.83333333333331,100,651,222,0
94,"[17692273, 43088944, 99082401]",44731,3464,58,99.40222222222222,96.22222222,96.66666666666669,269,136,2
95,"[16187387, 61477682]",44415,3434,50,98.7,95.38888888888889,83.33333333333334,585,166,10
96,"[22243992, 61730013]",44919,3493,40,99.82,97.02777778,66.66666666666666,81,107,20
97,"[40922712, 50972273, 93619372]",44911,3332,46,99.80222222222224,92.55555555555556,76.66666666666667,89,268,14
98,"[28032543, 28080104]",44784,3552,40,99.52,98.66666666666669,66.66666666666666,216,48,20
99,"[28977441, 59165780, 83731454, 97738896]",43516,3402,60,96.70222222222222,94.5,100,1484,198,0
100,"[29953308, 35186151]",43910,3513,41,97.57777777777775,97.58333333333331,68.33333333333333,1090,87,19
101,"[40521442, 98117922]",41203,3598,46,91.56222222222222,99.94444444444444,76.66666666666667,3797,2,14
102,"[28184566, 30309881, 40780095]",44895,3129,45,99.76666666666668,86.91666666666666,75,105,471,15
103,"[18815002, 64263439, 70894276]",43399,3381,60,96.44222222,93.91666666666669,100,1601,219,0
104,"[38959170, 53214864, 65897395]",44919,3509,55,99.82,97.47222222222224,91.66666666666666,81,91,5
105,"[54749775, 85585971]",44743,2930,45,99.42888888888888,81.38888888888889,75,257,670,15
106,"[23655894, 48592867, 58754678]",42759,3509,44,95.02,97.47222222222224,73.33333333333333,2241,91,16
107,"[75012827, 96757066]",41822,3388,54,92.93777777777775,94.11111111111111,90,3178,212,6
108,"[56545722, 80346850, 82776705]",44867,3536,30,99.70444444444443,98.22222222222224,50,133,64,30
109,"[83294300, 99950695]",42287,3510,39,93.97111111111111,97.5,65,2713,90,21
110,"[49946414, 71493122, 83303578]",44941,3487,57,99.86888888888888,96.86111111111111,95,59,113,3
111,"[60609028, 83383640]",44898,3099,57,99.77333333333334,86.08333333333333,95,102,501,3
112,"[14927618, 58293351, 85896971]",44690,3074,50,99.31111111,85.38888888888889,83.33333333333334,310,526,10
113,"[31977765, 40720845, 89772017]",43763,3251,26,97.25111111111111,90.30555555555554,43.333333333333336,1237,349,34
114,"[52129280, 94276181, 94636052]",44963,3464,34,99.91777778,96.22222222,56.66666666666666,37,136,26
115,"[89010704, 95493479]",43301,2957,56,96.22444444444444,82.13888888888889,93.33333333333331,1699,643,4
116,"[92474608, 97701250]",42932,3568,55,95.40444444444444,99.11111111111111,91.66666666666666,2068,32,5
117,"[30327373, 54338633, 99914046]",44837,3597,56,99.63777778,99.91666666666669,93.33333333333331,163,3,4
118,"[43523536, 87714364]",42786,3541,23,95.08,98.36111111111111,38.333333333333336,2214,59,37
119,"[62005531, 80337918, 87358579]",44975,3576,60,99.94444444444444,99.33333333333331,100,25,24,0
120,"[27064413, 69851017]",40821,3299,53,90.71333333333334,91.63888888888889,88.33333333333333,4179,301,7
121,"[58581084, 82405277, 96922646]",44563,3499,44,99.02888888888889,97.19444444444446,73.33333333333333,437,101,16
122,"[51081894, 80418317, 88604365]",44728,3531,45,99.39555555555556,98.08333333333331,75,272,69,15
